ID Predial,Predio,Plano,Comp,Relacion,Inc01,Inc02,Inc03,Inc04,Inc05,Inc06,Inc07,Inc08,Inc09,Inc10,Inc11,Mod1,Mod2,Mod3,Mod4,Mod5,Mod6,Mod7,Mod9,X,Y,Shape_Length,Shape_Area
30302014690100,00012,302228471994,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500179.4146,1093921.174,56.57498293,148.5557183
30303011612700,00035,307392511988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498372.3274,1095140.042,45.26425404,99.78961156
303040091419A0,00001,303879591980,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502688.3917,1096464.088,58.40418437,194.8559822
30307016686900,00011,304635801998,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502797.79,1098944.728,72.78711798,269.5918638
30308013063100,00007,309604801991,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496907.1369,1093272.991,119.190125,836.7631729
30303019420900,00017,310156062005,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500043.1752,1096943.692,49.74009539,134.9604659
30306024832200,00022,317086312013,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502418.2639,1097543.752,176.8403787,952.7407659
30307011244000,00011,305792481985,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500422.5564,1098205.455,266.7488827,2175.369861
30306025265000,00024,317727792014,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502443.0329,1097529.641,60.18454474,167.1720089
30307004164600,00005,319934022017,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500564.9658,1098304.754,761.8125435,19114.42955
30306026182100,00028,320985162018,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502419.5696,1097525.078,63.7786739,188.1046
30306025265200,00016,317727802014,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502334.6985,1097511.641,70.51666098,190.8924065
30307025266000,00014,318488332015,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500463.4224,1098226.871,315.9066896,4479.405116
30303011607000,00010,307388251988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498419.7796,1095220.963,43.50001527,94.50055557
30303020423100,00042,310674742006,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499968.0649,1096924.904,65.692433,178.8735846
30302018430500,00017,307310262001,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500476.2389,1094400.944,49.32100003,121.5187903
30305010647800,00020,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500688.8826,1097587.704,193.0259691,486.0624896
30303016151900,00040,303606731996,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498390.1292,1095284.547,46.03774384,120.3248224
30305020253200,00006,310107702005,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502386.2747,1098037.131,98.80804645,394.0130854
30301007304900,00021,300027401973,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,501009.4724,1095829.85,94.6047452,316.0524793
30302010072700,00035,304287781981,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499497.7704,1095087.254,56.33481345,161.8212804
30304P00020900,00006,300850151992,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501900.6264,1095147.299,46.48708329,123.3889321
30302010182700,00013,304353231981,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499183.7977,1095163.132,55.24204836,156.975911
30308P00059700,00001, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497015.578,1093290.729,162.0373735,889.9048823
30305025903000,00029,319994012017,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502089.1506,1098125.265,79.0820212,391.6273299
30302010847200,00016,305847761985,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,500421.358,1094051.149,56.00044698,160.0034899
30303011694300,00027,307566821988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498374.4992,1095034.19,42.00453273,90.01350329
30305014250400,00019,301470061993,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501464.1389,1097715.133,55.7411992,142.0986194
30301007974800,00025,300041291975,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501727.1912,1095830.25,56.96254086,136.348931
30307025303000,00053,318498162015,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501231.3089,1098932.328,271.2129557,1862.119449
30307013839100,00013,318600222015,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500442.4889,1098194.442,167.2758564,1022.602466
30306025265100,00025,317727782014,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502442.7005,1097522.005,61.69645389,180.2597047
30307025269200,00055,318420352015,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501281.7141,1098939.42,158.4777348,853.3479148
30303019479200,00011,309007832004,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500313.0405,1096057.197,60.01773225,200.1482125
30302015069600,00005,302422121995,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500149.7929,1093871.314,51.17692137,117.1559587
30303015704200,00033,303486061996,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498379.2058,1095237.807,46.00166899,119.8895546
30308013143300,00004,309656591991,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,497091.1445,1093111.067,171.4429143,1344.92592
30307017691300,00018,305711951999,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501941.3886,1099115.936,87.70028834,448.7192383
30302010185900,00043,304328321981,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499301.8846,1095093.666,55.98513393,159.938776
30304018998900,00004,308231092002,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502557.3546,1095397.843,59.96997937,199.9591203
30301004253800,00001,305067591983,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501423.4558,1095900.398,53.08457639,150.7534457
30302020296900,00019,310431642005,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501785.8878,1094667.937,48.20182978,125.370961
30302015164700,00028,308963871990,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500175.258,1094494.074,41.30062024,89.90263598
30305008700700,00005,304849471982,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,501097.2267,1097637.022,114.7858742,268.5603573
30303023757400,00036,315569072012,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500310.4444,1096477.683,65.58930263,194.6269376
30306008242800,00003,300536372022,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502408.0446,1096382.049,317.328436,3670.361012
30302019050000,00006,306885792001,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498985.8837,1094090.078,102.5081275,536.210872
30303011691600,00037,307565821988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498314.4661,1095060.016,42.00440668,90.02155233
30301008629100,00051,300021001973,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501718.1316,1095386.438,64.37074591,166.8658169
30302008340100,00014,300372891977,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500128.2192,1094293.688,73.01735296,202.6301353
30302011155500,00047,304328911981,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499316.3459,1095122.211,55.99394137,159.9616703
30301009114700,00005,300179811973,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500859.7841,1095698.716,70.27775199,307.3867491
30303019479600,00003,309001672003,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500331.4885,1096069.858,59.85981473,199.4636845
30302013082300,00031,300067571991,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500125.3567,1094227.843,46.40417717,131.8392992
30301008141100,00011,300261041976,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500927.0283,1095269.552,82.95031488,344.0122076
30302018430600,00016,307310272001,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500481.8621,1094405.047,49.47865054,123.4093592
30302006464900,00010,306432842000,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499519.41,1094397.278,88.86443733,385.2814804
30302017037700,00015,305134821998,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500049.3784,1095186.502,48.91095109,133.680967
30302017171600,00063,305412901999,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499554.0852,1094954.905,55.59158954,158.2874283
30304019530200,00016,308777152003,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503141.2176,1094723.392,54.25996558,126.1720371
30302017813400,00015,306152682000,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499659.1305,1094969.591,60.23522886,185.0610481
30301011158300,00022,306588541986,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501551.3432,1095420.588,69.43867673,196.890637
30301007658300,00012, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,501420.492,1095181.664,81.52709347,321.8453391
30303016152400,00027,303615321996,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498370.0825,1095198.862,45.81414762,119.2725365
30304018998400,00009,308231082002,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502565.6957,1095348.543,60.02276727,200.1517988
30302015179600,00004,302411661995,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500147.0014,1093866.066,51.50147302,117.4235701
30301018744500,00010,303942561997,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,501767.6236,1095796.47,45.20871048,123.400983
30305016820300,00002,304663971998,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501036.0445,1096949.441,52.24997317,136.0209239
